 [1]  0.75002327 -0.56843662  0.80548080  0.75788418  0.04622566 -1.57538929
 [7] -1.06815909 -0.54229212 -0.30256379  1.69722700
 [221]  1.1327761006  0.8604840237  0.3447034794  0.2536575652 -0.7977092035
 [226]  0.4722371866  0.0894954569  0.1015054788 -0.1647648027 -1.1078416783
 [231] -0.5502422029  0.7901231682  0.0728554276  0.0489036966 -0.1493323769
 [236]  1.4160361168  0.0526903503  0.2802693297  0.1816510308 -0.9157034066
 [241] -0.0311089249  1.3039101715  0.4863627541 -1.3978640380  0.1107481876
 [246]  0.5867514303 -0.0394736234  0.8065297294 -0.1358692243 -1.0025687468
 [251]  0.7540060309  0.2935557411  0.5707344090  1.0613855415  0.2292810647
 [256] -1.5730041264  0.1538530251 -1.5807413282 -0.4893795031  0.9751910619
 [261] -1.6628403642  0.1393332038 -0.5659512743 -0.2626531104  0.9974080907
 [266]  0.4842748928  1.3112945890 -1.0833654210 -0.8232033675 -0.7102672967
 [271] -0.0934201059 -0.9537480711 -0.7742844155 -0.9268690567  0.6305627273
 [276]  0.5757945115  0.9384494869  2.6598962745 -0.1433547261  0.7101726606
 [281]  3.2565347457  0.5874470454 -0.0336248297 -0.9247881569 -0.5047120092
 [286] -1.6313158047 -1.5165749969 -0.3650345290  0.3494083899  0.0743346388
 [291] -0.3502602260 -1.7600740078  0.6846892537  0.4878388564  1.6291393488
 [296] -1.7965404975 -0.2484750988  1.7610202339  0.1492892031  1.3999202010
 [301]  0.6008826263  0.1690938921  0.9362629061 -1.7419277857 -0.3008117087
 [306]  0.6324913531  1.3573826653  0.7913284870  0.2255518910  1.1595413208
 [311]  0.0481323029 -1.0558477650  0.0096345838 -0.1269960914  0.3994925670
 [316] -0.3411998689  0.6785454508  2.0678186384 -1.7378031591  0.6106050585
 [321] -0.6784874165 -0.5861692456 -1.7570987714 -0.2213140472  0.3645459542
 [326] -1.3733407976  1.9467706724 -0.7147653256 -2.2133903355 -0.0780470537
 [331]  2.3543903027  1.6091094249  1.2945622676  0.8127177434  0.4896575411
 [336] -0.3976674784 -1.4528856654 -2.1583181131 -1.1282184840 -1.7241069049
 [341] -0.9400542997  0.7530565058 -0.8382212863 -1.4831042686 -0.9245749571
 [346] -1.6603600217  0.8273037230 -1.4469475342 -0.1090685065  0.6060492340
 [351]  1.2196728036  1.9026601814 -1.7018788799  0.9464534984 -0.5145324630
 [356] -0.1436773595  1.4622496811 -0.5644350931  0.7045970447 -0.0578320834
 [361] -0.4489786009  1.4259680110 -0.1870699339 -0.1751555740  0.7213821272
 [366]  0.9372163037 -0.8763855514  1.1657622932 -0.5927786787 -0.8399558133
 [371] -2.2670130360 -0.1090603522  0.3471175179 -0.6634117203  1.2597513096
 [376]  0.6461904777  0.1330027577  1.8176229852 -1.4475816181  0.3162191180
 [381]  0.8686837632 -0.9473770380 -0.2189121236 -0.0206422149 -0.4045094398
 [386]  0.1032048097 -0.1181166400 -0.7855249274  0.7856635011 -0.5342262433
 [391] -0.5834107652  0.5092577871  1.7067166408 -1.7028652578  0.2297810464
 [396]  0.4264115161  0.0632845008  2.5599781591  1.2745202442 -0.4928266503
 [401] -0.5822854498  0.9359005894  1.0279843743  0.7439844709 -0.5620481452
 [406]  0.5661934395 -0.0413323629  1.8592660537 -0.8088480950  0.0666499919
 [411] -0.9766905306 -0.9344611965  0.0385019678 -0.1958031539 -0.4576610585
 [416]  1.5631341986  0.1207649969  1.3352579193 -0.9334501519 -0.2078330338
 [421] -1.3504223769  1.4557914083 -0.9335841795  1.4886904773 -0.9432879116
 [426] -0.0587590329 -2.8016613323 -0.2090596686  0.0490000482 -1.8585839942
 [431] -0.2494515239 -0.3074768040 -1.7801639272  0.9208479660 -1.1619370882
 [436] -0.1815365151  0.5910649642 -0.4838469008  0.7687264260  0.1616867546
 [441]  1.5025294080 -0.6192315974 -1.1104455961  0.3883602333 -0.1577460222
 [446] -0.2568184205  0.5243551472  0.5127866923  0.0529852233  0.6606143759
 [451]  0.7786596091  0.8567303119  0.9871085823  1.3107736575 -0.1002419092
 [456] -0.3997089424 -1.1761701463 -0.1999716869 -0.8798221057  0.4401092931
 [461] -0.1617096754 -0.5154276172 -0.9294383571  0.0943665687 -0.5546675206
 [466] -1.2074051392 -1.3564527641  1.1208116261 -0.6335940468 -0.7173727422
 [471] -0.2533329739 -0.5329257350 -0.4034605014 -0.2738721983 -0.5603640833
 [476] -1.0446309175  0.7394610804 -0.0728796533 -1.3897453948  0.8296373371
 [481] -1.6817643879 -0.3614174506 -0.2492234078 -0.8912145896  0.3182182833
 [486] -1.4505124359  1.5331310886  0.3968781492  1.7112456470  0.6699088969
 [491] -1.6304366030  0.6733111000  0.4771583728  1.0468277155  1.0948430937
 [496]  0.4865446055  0.6574698378 -0.5381319669  1.5971453877 -1.7055943520
 [501] -1.8206403614 -1.2397306897  0.9317790607 -1.0582642859 -0.3444544252
 [506]  0.1160675505 -0.4428589883 -2.0219889813  1.1861948445 -0.0413273175
 [511]  0.5576776053  0.0392978553 -0.4885788439  0.1352708908  0.8388469853
 [516] -1.4516179626 -1.1070179307  1.3183444535 -0.8588927102  0.0498079230
 [521] -1.3741670129  0.7130973526  0.6205870839 -0.2321905335  1.5674380908
 [526] -0.4693543985 -0.2534258299  1.1209438917  0.4868953805  0.8748006702
 [531]  1.4807546878  0.2750089946  0.6750629345 -0.5979604904  0.4926112862
 [536] -0.2705479429  1.2931568045 -0.0125092996  0.0641482862  0.0309240127
 [541] -1.9725014422 -0.9448886035  1.9716580477  0.7313946552  0.0735921534
 [546] -0.1219113094 -0.1255995216  0.4673214132  0.8045584483 -0.9334319059
 [551] -0.1052082834 -1.2047420387 -0.3887546600  0.5363262684 -1.3927952369
 [556]  1.0401305384  1.1970060949  0.0243361655  0.2994344788  1.3582690308
 [561] -0.5412293912 -0.8898271711 -1.1020629944 -0.9274914547 -0.6673018037
 [566]  0.4013201480 -0.8962522887 -0.2361875984  0.1868275608 -1.2367064602
 [571]  1.4342963495  1.3245321361 -1.7460209205 -0.4430435019 -0.3336904418
 [576]  0.2012465649 -1.1226068597 -0.3366348835  0.8069538356  1.0121736973
 [581]  0.2606280546  0.3667345151 -0.6039913496 -0.4027352941  1.1804388433
 [586]  0.0986237520 -0.6387486737  1.6466142182 -0.5424553239  1.1490549225
 [591]  0.6077680147  0.4086005612 -0.2720674632  0.9088146041 -1.5851238233
 [596] -0.9406901527 -0.2062358526  0.1883944324  0.1351224813 -0.2491007780
 [601] -0.2547596276  0.4975604734 -0.6191394268 -2.1261867713  0.0382580389
 [606]  0.8856856833  1.0013743498 -0.2533094664 -0.0257296449  1.5258033060
 [611] -0.6004175899 -0.0947173847  0.5130813038 -0.6019696040 -0.4232031956
 [616]  0.5940060318 -0.6791332399  0.4841524618 -1.1472192199 -1.9563318411
 [621]  0.6457675075 -0.0965984876 -0.3946012748 -0.4802166556  1.0132756556
 [626] -1.0362341440  0.9812601733 -0.9904522312 -0.1015153336 -0.1773384661
 [631]  0.6003871168 -1.7178816548 -0.2184565627 -0.1022143834  0.5845711324
 [636]  1.1415682270 -0.9343607111  0.3569241124  0.4762038880  1.2021129692
 [641] -0.0529584206  1.1658852192  0.1200899424 -0.2565452061  0.5398346658
 [646]  0.3139238697  0.4137799426  1.0256216889 -0.2476286539 -0.1996627589
 [651] -0.1664541819  1.0923708937  1.9582621040  0.9858190961  1.0587658779
 [656]  1.7793201442 -0.5294353795 -1.4158708656 -1.0608396121  0.2854060267
 [661]  0.0574835078 -2.6446060073  1.2036568566 -0.1823167450 -0.0214478469
 [666]  0.4355018448 -1.2572012029 -0.6626435888  1.0543142138  1.9804401187
 [671]  0.7126488953  0.7626779770 -1.6506279751  1.0727881354  1.1424489287
 [676] -0.3153233961  0.2201395506  0.9457168590  2.1579376475 -1.0602210220
 [681]  1.0499902630  1.3929181401  0.9368498921  0.3240937304 -0.1152233698
 [686]  0.1971090344  0.8912438057 -1.0289465067 -1.1712854135 -0.6673324793
 [691] -1.3702474159 -1.6122305004  1.3949712718 -0.8727360359 -0.4631868489
 [696] -1.0848742660  0.5402688082  0.5552780109  1.2065747789 -0.4213093920
 [701]  1.2586797837  0.1696174281 -1.2475493012  1.1702364095  1.5273609497
 [706]  0.8257060437 -0.3902375218 -1.2919934558  0.0713895514 -1.2930004487
 [711] -1.7549269171  0.7289332822 -0.2605053446 -0.3590214067 -0.6001298146
 [716]  1.3322038669 -1.5289992232 -0.4040075311  0.5929538901  0.3208407343
 [721] -0.5727337835 -0.0267104915 -0.1555402442  1.6947639728  0.1356372854
 [726] -0.6114914631  1.2049253505 -1.2206439489  0.5652170482  1.2485995896
 [731] -1.1154289871  0.3542645995  0.9724168182  1.1367222205  1.5377397078
 [736]  1.9264701815  0.2319159609 -0.8012357830 -0.7121387931  0.7201255601
 [741] -1.5171127726  0.5278997500 -1.1047871142 -0.8781876670  0.3717195318
 [746] -0.5471691799 -0.7827381945 -0.6202656279  1.4316710077 -1.3184310794
 [751]  0.1418388299 -0.4260303271  2.9559989305 -0.1212292845  1.8291856696
 [756]  0.8864745506 -1.5107259993  0.5429153065  0.7212253232  0.0595317439
 [761] -1.8908358106  2.2493378835 -0.1507333076 -1.3477761416  1.2658700639
 [766] -0.2092689189  0.2766821922 -0.7336981562 -1.7321225673 -0.1307943461
 [771]  0.7752424777  0.0176633447  0.0616603283  0.2535866164  0.4276768314
 [776] -0.2235131028 -0.2646068683 -0.6891592343 -1.3286429364 -1.3876634797
 [781] -0.7411817890 -0.6979487463 -0.3512177351 -1.1647977770 -0.8438643156
 [786]  1.5123920730  0.4012477785  0.2920177445  0.0102449673 -0.8707776433
 [791] -0.5493948106 -0.3315018324  0.1211865372  0.0002006876  1.8163118082
 [796] -0.3011623106 -0.7043417946 -1.5824329383 -0.9531427406  2.5949947832
 [801]  0.3335391462  0.9308685313  0.2394844612  0.2100534825 -0.1290593615
 [806]  0.5839976688  1.4591859558  0.9235785137 -0.1845656472  0.1392056546
 [811] -1.3950946872  1.1575537032  1.8236611241 -1.4560735243  0.0166143237
 [816] -0.8337855060 -1.1467679029  1.0887082435  1.1853562777  2.0368612978
 [821]  0.5278395198 -1.7635536766  0.5169773027 -0.6500154607 -0.1619068966
 [826]  0.2731256902  0.1038532871  0.8178227075 -0.6120274704 -0.6338140898
 [831]  0.2157792094  0.9002507081 -0.3524514253 -0.6254128973 -0.9619668887
 [836] -0.7061837892 -0.2452486085 -1.1155237018  0.7162985882 -1.9941682964
 [841] -0.1176261854 -1.3908268888  1.2340995803 -0.4697772588  1.1476766441
 [846] -0.3794917095 -0.1753965038 -0.9723515339 -3.0060706164  1.6582557367
 [851] -1.3576037315  2.5647763782  0.3556300761 -0.5234060146  0.7238681229
 [856]  0.9032167264 -0.1902079365  0.1689064087  1.8528431054 -1.3518604699
 [861] -0.0139611724  0.8178310336 -1.3603751069 -1.7311767637  1.3704696121
 [866] -0.7031614853 -0.9889153160 -0.0012254797 -0.5123706478 -0.5168254948
 [871] -1.3661455736 -0.8611803121  0.8705837498  0.5271395106 -0.5947125433
 [876]  2.4171748759  1.4952632575 -0.6944957779 -0.0619824670 -3.1580021693
 [881]  0.9785289983  0.5861979479 -0.4564896705 -0.1568917029  0.1196187868
 [886]  1.0381524659 -0.9222975148  1.0863343517  0.7797102199 -0.6592512740
 [891] -0.2485024049  1.8505730021 -0.1201808406 -1.3364829797 -1.4186536741
 [896] -0.0341196572  0.2704498625  0.2814766164 -0.2263792027 -1.9141319130
 [901] -0.4093140949  0.9483463062 -2.2540261600  0.6400562389 -1.4186893256
 [906] -0.1816203153 -1.3499118576  0.8439456012 -0.5502254397  0.4506970436
 [911] -0.7548358550 -1.1326857166 -1.4546121894 -1.1057976586 -0.3155829204
 [916]  1.4011019676  0.5963834800 -0.5953730205  0.2710052373 -0.9527350972
 [921] -0.5724795828  0.1900449821  2.6820853921  0.2608085564  0.1333495846
 [926] -2.2368045338  1.1943899793  1.2658810466 -1.5667577071  0.0318355935
 [931] -0.7914443027  0.1516957217 -0.4597513752  1.0458832782  0.2493075617
 [936]  0.1188727727  0.4169614774 -1.7585296568 -1.1241521467  1.3825130764
 [941]  0.2224574282  0.4360726540 -1.3520452803  2.1772157082 -0.4977638056
 [946]  0.5147348693 -0.2235265056  0.9452370232 -0.8640923534  1.0049296142
 [951]  1.0239108330 -0.7455715699 -1.6010731848  0.4300076861 -2.2816794260
 [956]  0.7550184123  0.7794597162  0.8123187550 -0.3029648883  1.8335492458
 [961] -0.1116740636 -0.9239230221 -0.3494014476 -1.2120487126 -1.2264597584
 [966]  0.2360684727  0.0803913655 -0.4970001265 -0.1812593289 -0.1187318882
 [971] -0.2676438282  1.7797302784 -0.5505368735  0.7145291969 -0.3010085478
 [976] -1.0126462450 -0.8919699997  0.1892384808 -0.5295804417  0.1905079134
 [981]  0.3705222938  0.7598389100 -0.9764623203  1.3793127399 -1.8547300435
 [986] -1.8632656244  1.1547574163  1.2588320152 -1.1073382393  0.5243369670
 [991] -1.2793742835  1.6054673558  0.0955728033 -0.1095092320 -0.3046145220
 [996] -1.1957872946  0.8663429679  0.0323534774  0.5196601760 -0.7685288550
